,Tag,Codes,simSeconds,hostSeconds
10,mul/div_mul14-0,"#include <stdio.h>

#define SIZE 100

int main() {
  int a[SIZE][SIZE];
  int b[SIZE][SIZE];
  int c[SIZE][SIZE];
  
  for (int i = 0; i < SIZE; i++) {
    for (int j = 0; j < SIZE; j++) {
      a[i][j] = i + j;
      b[i][j] = i + j;
    }
  }
  
  // Calculate the product of matrices a and b and store the result in c
  for (int i = 0; i < SIZE; i++) {
    for (int j = 0; j < SIZE; j++) {
      c[i][j] = 0;
      for (int k = 0; k < SIZE; k++) {
        c[i][j] += a[i][k] * b[k][j];
      }
      if (j > 0) {
        c[i][j] += 8;
      }
    }
  }
  
  // Print out the result matrix c
  for (int i = 0; i < SIZE; i++) {
    for (int j = 0; j < SIZE; j++) {
      printf(""%d "", c[i][j]);
    }
    printf(""\n"");
  }
  
  return 0;
}
",0.10283,70.96
11,mul/div_mul14-1,"#include <stdio.h>

#define SIZE 100

int main() {
  int a[SIZE][SIZE];
  int b[SIZE][SIZE];
  int c[SIZE][SIZE];
  
  for (int i = 0; i < SIZE; i++) {
    for (int j = 0; j < SIZE; j++) {
      a[i][j] = b[i][j-1] + j;
      b[i][j] = a[i][j] + j;
    }
  }
  
  // Calculate the product of matrices a and b and store the result in c
  for (int i = 0; i < SIZE; i++) {
    for (int j = 0; j < SIZE; j++) {
      c[i][j] = 0;
      for (int k = 0; k < SIZE; k++) {
        c[i][j] += a[i][k] * b[k][j];
      }
      if (j > 0) {
        c[i][j] += c[i][j-1];
      }
    }
  }
  
  // Print out the result matrix c
  for (int i = 0; i < SIZE; i++) {
    for (int j = 0; j < SIZE; j++) {
      printf(""%d "", c[i][j]);
    }
    printf(""\n"");
  }
  
  return 0;
}
",0.103801,72.58
12,mul/div_mul15-0,"#include <stdio.h>

int main() {
   int n=10000;
   int a[n];
   int b[n];
   int c[n];
   int i;
   
   for (i=0; i<n; i++){
       c[i]=i%40;
       a[i]=i;
       b[i]=i+1;
   }
   
   for (i = 0; i < n; i++) {
       if (a[i] > 20) {
           c[i] = a[i] / b[i];
       } else {
           c[i] = b[i] * a[i];
       }
   }

   printf(""Result array:\n"");
   for (i = 0; i < n; i++) {
       printf(""%d "", c[i]);
   }
   printf(""\n"");
   
   return 0;
}
",0.012002,9.75
13,mul/div_mul15-1,"#include <stdio.h>

int main() {
   int n=10000;
   int a[n];
   int b[n];
   int c[n];
   int i;
   
   for (i=0; i<n; i++){
       c[i]=i%40;
       a[i]=i;
       b[i]=a[i]+1;
   }
   
   for (i = 0; i < n; i++) {
       if (a[i] > 20) {
           c[i] = c[i] / b[i];
       } else {
           c[i] = c[i] * a[i];
       }
   }

   printf(""Result array:\n"");
   for (i = 0; i < n; i++) {
       printf(""%d "", c[i]);
   }
   printf(""\n"");
   
   return 0;
}
",0.012101,9.67
14,mul/div_mul16-0,"#include <stdio.h>

#define SIZE 30

int main() {
    int arr[SIZE][SIZE][SIZE];
    int i, j, k;

    // Initialize array
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                arr[i][j][k] = i + j + k;
            }
        }
    }

    // Perform operation with data dependency
    for (i = 1; i < SIZE; i++) {
        for (j = 1; j < SIZE; j++) {
            for (k = 1; k < SIZE; k++) {
                arr[i][j][k] = i + j + k;
            }
        }
    }

    // Print results
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                printf(""%d "", arr[i][j][k]);
            }
            printf(""\n"");
        }
        printf(""\n"");
    }

    return 0;
}
",0.032316,31.53
15,mul/div_mul16-1,"#include <stdio.h>

#define SIZE 30

int main() {
    int arr[SIZE][SIZE][SIZE];
    int i, j, k;

    // Initialize array
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                arr[i][j][k] = i + j + k;
            }
        }
    }

    // Perform operation with data dependency
    for (i = 1; i < SIZE; i++) {
        for (j = 1; j < SIZE; j++) {
            for (k = 1; k < SIZE; k++) {
                arr[i][j][k] = arr[i-1][j-1][k-1] + arr[i][j][k-1] + arr[i][j-1][k];
            }
        }
    }

    // Print results
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                printf(""%d "", arr[i][j][k]);
            }
            printf(""\n"");
        }
        printf(""\n"");
    }

    return 0;
}
",0.038385,35.85
16,mul/div_mul17-0,"#include <stdio.h>

#define N 20

int main() {
    int A[N][N][N], B[N][N][N], C[N][N][N], D[N][N][N];
    int i, j, k, l;

    // Initialization
    for (i = 0; i < N; i++) {
        for (j = 0; j < N; j++) {
            for (k = 0; k < N; k++) {
                A[i][j][k] = i + j + k;
                B[i][j][k] = i * j * k;
                C[i][j][k] = 0;
                D[i][j][k] = 0;
            }
        }
    }

    // Compute C and D arrays
    for (i = 0; i < N; i++) {
        for (j = 0; j < N; j++) {
            for (k = 0; k < N; k++) {
                for (l = 0; l < N; l++) {
                    C[i][j][k] *= A[i][j][l] + B[l][j][k];
                    D[i][j][k] *= B[i][j][l] + A[i][l][k];
                }
            }
        }
    }

    // Print out result for verification
    printf(""D[0][0][0]: %d\n"", D[0][0][0]);

    return 0;
}
",0.041885,29.17
17,mul/div_mul17-1,"#include <stdio.h>

#define N 20

int main() {
    int A[N][N][N], B[N][N][N], C[N][N][N], D[N][N][N];
    int i, j, k, l;

    // Initialization
    for (i = 0; i < N; i++) {
        for (j = 0; j < N; j++) {
            for (k = 0; k < N; k++) {
                A[i][j][k] = i + j + k;
                B[i][j][k] = i * j * k;
                C[i][j][k] = 0;
                D[i][j][k] = 0;
            }
        }
    }

    // Compute C and D arrays
    for (i = 0; i < N; i++) {
        for (j = 0; j < N; j++) {
            for (k = 0; k < N; k++) {
                for (l = 0; l < N; l++) {
                    C[i][j][k] *= D[i][j][l-1] + B[l][j][k];
                    D[i][j][k] *= C[i][j][l] + A[i][l][k];
                }
            }
        }
    }

    // Print out result for verification
    printf(""D[0][0][0]: %d\n"", D[0][0][0]);

    return 0;
}
",0.041733,27.11
18,mul/div_mul18-0,"#include <stdio.h>

int main() {
  int n = 50;
  int arr[n][n][n];

  for(int i=0; i<n; i++) {
    for(int j=0; j<n; j++) {
      for(int k=0; k<n; k++) {
        arr[i][j][k] = 1;
      }
    }
  }

  int sum = 1;
  for(int i=0; i<n; i++) {
    for(int j=0; j<n; j++) {
      for(int k=0; k<n; k++) {
          sum = arr[i][j][k];
      }
    }
  }

  printf(""Sum of even numbers: %d\n"", sum);

  return 0;
}
",0.010851,8.06
19,mul/div_mul18-1,"#include <stdio.h>

int main() {
  int n = 50;
  int arr[n][n][n];

  for(int i=0; i<n; i++) {
    for(int j=0; j<n; j++) {
      for(int k=0; k<n; k++) {
        arr[i][j][k] = 1;
      }
    }
  }

  int sum = 1;
  for(int i=0; i<n; i++) {
    for(int j=0; j<n; j++) {
      for(int k=0; k<n; k++) {
          sum *= arr[i][j][k];
      }
    }
  }

  printf(""Sum of even numbers: %d\n"", sum);

  return 0;
}
",0.011497,8.65
20,mul/div_mul19-0,"#include <stdio.h>

int main() {
    int n = 10000;
    double a[n];
    double mul = 1;
    a[0]=1.0;

    for (int i = 1; i < n; i++) {
        a[i] = 1;
    }

    for (int i = 0; i < n; i++) {
        mul *= 1;
    }

    printf(""Sum: %lf\n"", mul);

    return 0;
}
",0.000902,0.63
21,mul/div_mul19-1,"#include <stdio.h>

int main() {
    int n = 10000;
    double a[n];
    double mul = 1;
    a[0]=1.0;

    for (int i = 1; i < n; i++) {
        a[i] = a[i-1];
    }

    for (int i = 0; i < n; i++) {
        mul *= a[i];
    }

    printf(""Sum: %lf\n"", mul);

    return 0;
}
",0.001172,0.82
22,mul/div_mul2-0,"#include <stdio.h>
int main()
{
    int n=1000;
    int array[n][n];
    int result[n][n];
    for (int i = 1; i < n; i++) {
        for (int j=1; j<n; j++){
                array[i][j] = 0 * 0;
                result[i][j] = 0 * 0;
        }
    }
}",0.000372,0.26
23,mul/div_mul2-1,"#include <stdio.h>
int main()
{
    int n=1000;
    int array[n][n];
    int result[n][n];
    for (int i = 1; i < n; i++) {
        for (int j=1; j<n; j++){
                array[i][j] = result[i][j-1] * result[i][j-1];
                result[i][j] = array[i][j] * array[i][j-1];
        }
    }
}",0.125235,95.73
24,mul/div_mul20-0,"#include <stdio.h>

#define N 3000

int main() {
    int A[N], B[N], C[N], D[N];

    // Initialize arrays A and B
    for (int i = 0; i < N; i++) {
        A[i] = i + 1;
        B[i] = 1;
    }

    // Compute array C with data dependency
    for (int i = 1; i < N; i++) {
        C[i] = A[i] + B[i];
    }

    // Compute array D with data dependency
    for (int i = 1; i < N; i++) {
        D[i] = C[N-1-i] * B[i];
    }

    // Print arrays A, B, C, and D
    printf(""Array A:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", A[i]);
    }
    printf(""\n"");

    printf(""Array B:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", B[i]);
    }
    printf(""\n"");

    printf(""Array C:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", C[i]);
    }
    printf(""\n"");

    printf(""Array D:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", D[i]);
    }
    printf(""\n"");

    return 0;
}
",0.01451,12.7
25,mul/div_mul20-1,"#include <stdio.h>

#define N 3000

int main() {
    int A[N], B[N], C[N], D[N];

    // Initialize arrays A and B
    for (int i = 0; i < N; i++) {
        A[i] = i + 1;
        B[i] = A[i] - i;
    }

    // Compute array C with data dependency
    for (int i = 1; i < N; i++) {
        C[i] = C[i-1] + A[i] + B[i];
    }

    // Compute array D with data dependency
    for (int i = 1; i < N; i++) {
        D[i] = D[i-1] + C[N-1-i] * B[i];
    }

    // Print arrays A, B, C, and D
    printf(""Array A:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", A[i]);
    }
    printf(""\n"");

    printf(""Array B:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", B[i]);
    }
    printf(""\n"");

    printf(""Array C:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", C[i]);
    }
    printf(""\n"");

    printf(""Array D:\n"");
    for (int i = 0; i < N; i++) {
        printf(""%d "", D[i]);
    }
    printf(""\n"");

    return 0;
}
",0.015359,13.1
26,mul/div_mul21-0,"#include <stdio.h>

#define N 100
#define M 50

int main() {
    int arr[N][M];
    int i, j, k, l;
    
    // Initialize the array
    for (i = 0; i < N; i++) {
        for (j = 0; j < M; j++) {
            arr[i][j] = 1;
        }
    }
    
    // Perform some calculations using data dependence
    for (i = 0; i < N; i++) {
        for (j = 0; j < M; j++) {
            for (k = 0; k < i; k++) {
                for (l = 0; l < j; l++) {
                    arr[i][j] = arr[k][l];
                }
            }
        }
    }
    
    // Print the resulting array
    for (i = 0; i < N; i++) {
        for (j = 0; j < M; j++) {
            printf(""%d "", arr[i][j]);
        }
        printf(""\n"");
    }
    
    return 0;
}
",0.308147,232.02
27,mul/div_mul21-1,"#include <stdio.h>

#define N 100
#define M 50

int main() {
    int arr[N][M];
    int i, j, k, l;
    
    // Initialize the array
    for (i = 0; i < N; i++) {
        for (j = 0; j < M; j++) {
            arr[i][j] = arr[i][j-1]+1;
        }
    }
    
    // Perform some calculations using data dependence
    for (i = 0; i < N; i++) {
        for (j = 0; j < M; j++) {
            for (k = 0; k < i; k++) {
                for (l = 0; l < j; l++) {
                    arr[i][j] += arr[k][l];
                }
            }
        }
    }
    
    // Print the resulting array
    for (i = 0; i < N; i++) {
        for (j = 0; j < M; j++) {
            printf(""%d "", arr[i][j]);
        }
        printf(""\n"");
    }
    
    return 0;
}
",0.419168,306.16
28,mul/div_mul22-0,"#include <stdio.h>

#define SIZE 10

int main() {
    int a[SIZE][SIZE][SIZE][SIZE][SIZE];
    int i, j, k, l, m;

    // initialize array
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (l = 0; l < SIZE; l++) {
                    for (m = 0; m < SIZE; m++) {
                        a[i][j][k][l][m] = i - j + k - l + m;
                    }
                }
            }
        }
    }

    // perform computation
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (l = 0; l < SIZE; l++) {
                    for (m = 0; m < SIZE-1; m++) {
                        a[i][j][k][l][m+1] = a[i][j][k][l][m+1] + a[i][j][k][l][m+1];
                    }
                }
            }
        }
    }

    // print results
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (l = 0; l < SIZE; l++) {
                    for (m = 0; m < SIZE; m++) {
                        printf(""%d "", a[i][j][k][l][m]);
                    }
                }
            }
        }
    }
    return 0;
}
",0.128725,118.6
29,mul/div_mul22-1,"#include <stdio.h>

#define SIZE 10

int main() {
    int a[SIZE][SIZE][SIZE][SIZE][SIZE];
    int i, j, k, l, m;

    // initialize array
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (l = 0; l < SIZE; l++) {
                    for (m = 0; m < SIZE; m++) {
                        a[i][j][k][l][m] = i - j + k - l + m;
                    }
                }
            }
        }
    }

    // perform computation
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (l = 0; l < SIZE; l++) {
                    for (m = 0; m < SIZE-1; m++) {
                        a[i][j][k][l][m+1] = a[i][j][k][l][m] + a[i][j][k][l][m+1];
                    }
                }
            }
        }
    }

    // print results
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (l = 0; l < SIZE; l++) {
                    for (m = 0; m < SIZE; m++) {
                        printf(""%d "", a[i][j][k][l][m]);
                    }
                }
            }
        }
    }
    return 0;
}
",0.13494,119.41
30,mul/div_mul23-0,"#include <stdio.h>
#define SIZE 15

int main() {
    int arr[SIZE][SIZE][SIZE];
    int i, j, k, m, n;

    // Initialize array
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                arr[i][j][k] = i * j + k + 1;
            }
        }
    }

    // Compute multiplication of elements
    int sum = 0;
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (m = 0; m < SIZE; m++) {
                    for (n = 0; n < SIZE; n++) {
                        sum = arr[i][j][k] / arr[m][n][k];
                    }
                }
            }
        }
    }

    printf(""Mul: %d\n"", sum);
    return 0;
}
",0.043242,38.07
31,mul/div_mul23-1,"#include <stdio.h>
#define SIZE 15

int main() {
    int arr[SIZE][SIZE][SIZE];
    int i, j, k, m, n;

    // Initialize array
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                arr[i][j][k] = i * j + k + 1;
            }
        }
    }

    // Compute multiplication of elements
    int sum = 0;
    for (i = 0; i < SIZE; i++) {
        for (j = 0; j < SIZE; j++) {
            for (k = 0; k < SIZE; k++) {
                for (m = 0; m < SIZE; m++) {
                    for (n = 0; n < SIZE; n++) {
                        sum *= arr[i][j][k] / arr[m][n][k];
                    }
                }
            }
        }
    }

    printf(""Mul: %d\n"", sum);
    return 0;
}
",0.045414,46.17
32,mul/div_mul24-0,"#include <stdio.h>

#define N 20

int main() {
  int A[N][N][N];
  int i, j, k, l, m, sum;

  // Initialize the array
  for (i = 0; i < N; i++) {
    for (j = 0; j < N; j++) {
      for (k = 0; k < N; k++) {
        A[i][j][k] = i * j + k;
      }
    }
  }

  // Perform some computations with data dependency
  for (i = 0; i < N; i++) {
    for (j = 0; j < N; j++) {
      for (k = 0; k < N; k++) {
        sum = 1;
        for (l = 0; l < i; l++) {
          for (m = 0; m < j; m++) {
            sum = A[l][m][k];
          }
        }
        A[i][j][k] = sum / (i * j + 1);
      }
    }
  }

  // Print the results
  for (i = 0; i < N; i++) {
    for (j = 0; j < N; j++) {
      for (k = 0; k < N; k++) {
        printf(""%d "", A[i][j][k]);
      }
      printf(""\n"");
    }
    printf(""\n"");
  }

  return 0;
}
",0.041688,34.36
33,mul/div_mul24-1,"#include <stdio.h>

#define N 30

int main() {
  int A[N][N][N];
  int i, j, k, l, m, sum;

  // Initialize the array
  for (i = 0; i < N; i++) {
    for (j = 0; j < N; j++) {
      for (k = 0; k < N; k++) {
        A[i][j][k] = i * j + k;
      }
    }
  }

  // Perform some computations with data dependency
  for (i = 0; i < N; i++) {
    for (j = 0; j < N; j++) {
      for (k = 0; k < N; k++) {
        sum = 1;
        for (l = 0; l < i; l++) {
          for (m = 0; m < j; m++) {
            sum *= A[l][m][k];
          }
        }
        A[i][j][k] = sum / (i * j + 1);
      }
    }
  }

  // Print the results
  for (i = 0; i < N; i++) {
    for (j = 0; j < N; j++) {
      for (k = 0; k < N; k++) {
        printf(""%d "", A[i][j][k]);
      }
      printf(""\n"");
    }
    printf(""\n"");
  }

  return 0;
}
",0.311203,214.07
34,mul/div_mul25-0,"#include <stdio.h>

int main() {
    int a[100], b[100], c[100];
    int n = 100;
    
    // Initialize array a and b
    for (int i = 0; i < n; i++) {
        a[i] = i;
        b[i] = n - i;
    }
    
    // Perform data dependent computation
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            for (int k = 0; k < n; k++) {
                c[i] = a[j] * b[k];
            }
        }
    }
    
    // Print result
    printf(""Result: "");
    for (int i = 0; i < n; i++) {
        printf(""%d "", c[i]);
    }
    printf(""\n"");
    
    return 0;
}
",0.029832,23.95
35,mul/div_mul25-1,"#include <stdio.h>

int main() {
    int a[100], b[100], c[100];
    int n = 100;
    
    // Initialize array a and b
    for (int i = 0; i < n; i++) {
        a[i] = i;
        b[i] = n - i;
    }
    
    // Perform data dependent computation
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            for (int k = 0; k < n; k++) {
                c[i] += a[j] * b[k];
            }
        }
    }
    
    // Print result
    printf(""Result: "");
    for (int i = 0; i < n; i++) {
        printf(""%d "", c[i]);
    }
    printf(""\n"");
    
    return 0;
}
",0.035841,28.73
36,mul/div_mul3-0,"#include <stdio.h>

int main() {
    int a = 2;
    int b = 5;
    int c = 5 * 5;
    for (int i = 1; i < 10000; i++) {
        c = 3 * 3;
    }
}
",0.00043,0.33
37,mul/div_mul3-1,"#include <stdio.h>

int main() {
    int a = 2;
    int b = 5;
    int c = a * b;
    for (int i = 1; i < 10000; i++) {
        c = a * c;
    }
}
",0.00047,0.36
38,mul/div_mul4-0,"#include <stdio.h>

int main() {
    int n=987;
    int x[n];
    int y[n];
    int i;
    for (i = 0; i < n; i++) {
        if (i == 0) {
            y[i] = 1;
        } else {
            y[i] = 2 * 2;
        }
    }
}
",0.00033,0.24
39,mul/div_mul4-1,"#include <stdio.h>

int main() {
    int n=987;
    int x[n];
    int y[n];
    int i;
    for (i = 0; i < n; i++) {
        if (i == 0) {
            y[i] = x[i];
        } else {
            y[i] = x[i] * y[i-1];
        }
    }
}
",0.000375,0.28
40,mul/div_mul5-0,"#include <stdio.h>

int main() {
    int n = 2370;
    int a[n], b[n], c[n];
    a[0] = 1;
    b[0] = 2;
    c[0] = a[0] * b[0];

    for (int i = 1; i < n; i++) {
        a[i] = i+1;
        b[i] = 2*(i+1);
        c[i] = i * i * c[i-1];
    }
}
",0.00033,0.23
41,mul/div_mul5-1,"#include <stdio.h>

int main() {
    int n = 2370;
    int a[n], b[n], c[n];
    a[0] = 1;
    b[0] = 2;
    c[0] = a[0] * b[0];

    for (int i = 1; i < n; i++) {
        a[i] = i+1;
        b[i] = 2*(i+1);
        c[i] = a[i] * b[i] * c[i-1];
    }
}
",0.000331,0.26
42,mul/div_mul6-0,"#include <stdio.h>

int multiply(int n, int a[][n], int b[][n], int c[][n], int i, int j) {
    if (j == n) {
        j = 0;
        i++;
    }
    if (i == n) {
        return 0;
    }
    for (int k = 0; k < n; k++) {
        if (a[i][k] > b[k][j]) {
            c[i][j] = a[i][k] * b[k][j];
        } else {
            c[i][j] = a[i][k] * b[k][j];
        }
    }
    multiply(n, a, b, c, i, j + 1);
}

int main() {
    int n = 50;
    int a[n][n];
    int b[n][n];
    int c[n][n];

    multiply(n, a, b, c, 0, 0);

    printf(""Result:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            printf(""%d "", c[i][j]);
        }
        printf(""\n"");
    }

    return 0;
}
",0.016508,11.41
43,mul/div_mul6-1,"#include <stdio.h>

int multiply(int n, int a[][n], int b[][n], int c[][n], int i, int j) {
    if (j == n) {
        j = 0;
        i++;
    }
    if (i == n) {
        return 0;
    }
    for (int k = 0; k < n; k++) {
        if (a[i][k] > b[k][j]) {
            c[i][j] *= a[i][k] * b[k][j];
        } else {
            c[i][j] *= a[i][k] * b[k][j];
        }
    }
    multiply(n, a, b, c, i, j + 1);
}

int main() {
    int n = 50;
    int a[n][n];
    int b[n][n];
    int c[n][n];

    multiply(n, a, b, c, 0, 0);

    printf(""Result:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            printf(""%d "", c[i][j]);
        }
        printf(""\n"");
    }

    return 0;
}
",0.018728,13.46
44,mul/div_mul7-0,"#include <stdio.h>

int main() {
    int n = 128;
    int a[n][n];
    int b[n][n];
    int c[n][n];

    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            int sum = 0;
            for (int k = 0; k < n; k++) {
                sum = a[i][k] * b[k][j];
            }
            c[i][j] = sum;
        }
    }

    return 0;
}
",0.104452,72.55
45,mul/div_mul7-1,"#include <stdio.h>

int main() {
    int n = 128;
    int a[n][n];
    int b[n][n];
    int c[n][n];

    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            int sum = 0;
            for (int k = 0; k < n; k++) {
                sum *= a[i][k] * b[k][j];
            }
            c[i][j] = sum;
        }
    }

    return 0;
}
",0.110844,75.46
46,mul/div_mul8-0,"#include <stdio.h>

int factorial(int n) {
    if (n == 0) {
        return 1;
    } else {
        return n * (n - 1);
    }
}

int main() {
    int n = 500;
    int result = factorial(n);
    printf(""Factorial of %d is %d\n"", n, result);
    return 0;
}
",0.000521,0.32
47,mul/div_mul8-1,"#include <stdio.h>

int factorial(int n) {
    if (n == 0) {
        return 1;
    } else {
        return n * factorial(n - 1);
    }
}

int main() {
    int n = 500;
    int result = factorial(n);
    printf(""Factorial of %d is %d\n"", n, result);
    return 0;
}
",0.000546,0.36
48,mul/div_mul9-0,"#include <stdio.h>

int sum_even(int a, int b) {
    int sum = 1;
    for (int i = a; i <= b; i++) {
        if (i % 2 == 0) {
            sum *= 1;
        }
    }
    return sum;
}

int main() {
    int a = 1, b = 6730;
    int result = sum_even(a, b);
    printf(""Sum of even numbers between %d and %d is %d\n"", a, b, result);
    return 0;
}
",0.000625,0.39
49,mul/div_mul9-1,"#include <stdio.h>

int sum_even(int a, int b) {
    int sum = 1;
    for (int i = a; i <= b; i++) {
        if (i % 2 == 0) {
            sum = 1;
        }
    }
    return sum;
}

int main() {
    int a = 1, b = 6730;
    int result = sum_even(a, b);
    printf(""Sum of even numbers between %d and %d is %d\n"", a, b, result);
    return 0;
}
",0.000638,0.41
